时间/h,0 cm,0.5 cm,1 cm,1.5 cm,2 cm,药材表面
6.000000,1.71722233,1.53568377,1.02171105,,,0.42170329
12.000000,0.73434749,0.65182817,0.40692951,,,0.16667757
18.000000,0.40663813,0.36683746,0.23878723,,,0.08886478
24.000000,0.28374241,0.25986036,0.17832406,,,0.06709682
30.000000,0.22533797,0.20851367,0.14875869,,,0.05929496
36.000000,0.19205295,0.17897481,0.13124832,,,0.05579000
42.000000,0.17061215,0.15981229,0.11962859,,,0.05394332
48.000000,0.15561704,0.14632934,0.11125812,,,0.05285793
50.824444,0.14999962,0.14125980,0.10806564,,,0.05249628
